drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0031,CVCL_0062,CVCL_0418,CVCL_0419,CVCL_1425,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0033,CVCL_0532,CVCL_0098,CVCL_0553,CVCL_0006,CVCL_0588
AFATINIB,0.529550908692747,0.162369066862928,0.391728393880356,0.245439957631524,0.0289621019185375,0.4170273917861971,0.12093362497765099,0.00296570329446325,0.118178662458006,0.328427389097409,0.19898846671724105,0.31587572405437203,0.10065132380472601,0.637045165475804,0.000733602343670638,0.0564703525366859,0.16784493745629697,0.24009896943445802,0.18216106810333396,0.47418598120399796,0.32063014344225604,0.0163299405457144,0.0026557040291363397,0.0720635688974781,0.00677530289916319,0.0580068842284465,0.0345797430680379,0.0,0.150048896340583,0.17312952928035003,0.0491109475704038,0.0,0.11206482110529199,0.0,0.0,0.66175581007102,0.12880001686209802,0.00366301615156465,0.164325173282322,0.20419279795886397,0.307170173576727
AXITINIB,0.00743224126157823,0.11397403923010001,0.0583878632217614,0.056586313023395,0.0966743706960218,0.0896419094327218,0.0421768591157578,0.24498456922604003,0.37913871524494797,0.0799797603749024,0.131638347103219,0.16854312809202002,0.161747295646722,0.220110165974994,0.0072021329857195,0.360286534346823,0.5940528436007739,0.26978581277432,0.0668832016329875,0.16956277790968202,0.0380658555271975,0.13352481445478,0.11386060975751199,0.20360155821006398,0.140960459138596,0.18560048366661605,0.186806388192698,0.00626340867375325,0.13425220239305902,0.11708088416014001,0.0136602323077365,0.0448526472983033,0.1514736,0.0516613307447793,0.15135460619943303,0.21446799710070602,0.0350703223288823,0.0973393460979447,0.0314757122162113,0.23794351991303303,0.117190985274888
BEXAROTENE,0.0409510000000006,0.202374012992305,0.0,0.0317326593424405,0.13663119445689698,0.0659437314656557,0.0,0.00776092957571202,0.17107306692481303,0.0,0.129246339828167,0.0961952000000018,0.11256904827280902,0.0954595277242733,0.0619491401918606,0.0253521104064331,0.11527828764039699,0.0319976969772135,0.10075460000000099,0.1537942,0.0,0.363665611834408,0.206233224461863,0.380618489723885,0.306113293837671,0.0469018127322378,0.0632205453186062,0.028050821442047996,0.066058680025409,0.000497934925796754,0.00416280619937678,0.0101144117963823,0.0,0.0911116053787532,0.373763175867323,0.0959555112040951,0.0180968,0.37005507850580893,0.0572142553841009,0.261981514985218,0.21922998093475501
BI2536,0.139195332765738,0.43230545821608096,0.43122030190549704,0.422583557275224,0.44254621093917995,0.330177916654917,0.388303360819748,0.431931350845906,0.668410498531573,0.25679048136410604,0.447904383678498,0.158742371436492,0.250930523578623,0.27672265746675706,0.17218165953518397,0.313305540718947,0.42628384982347994,0.296989739402188,0.31583588662368,0.48603399725635604,0.29721382541076,0.6057153518003879,0.477081615218312,0.508513297624319,0.550953219575264,0.565493754256369,0.412639033369807,0.32633052960423903,0.187813345757492,0.2099939349358,0.366093672652358,0.13960233102029299,0.0785479338898957,0.336626909894986,0.49450221709891795,0.5198865972107071,0.24498568729224696,0.45255067484237604,0.10572769354259,0.46150721546122403,0.184618815384815
BMS754807,0.0489605940461213,0.152273924674249,0.213063663706281,0.129352001600703,0.22456079466034098,0.250506921647277,0.17860179838107898,0.19708618481037804,0.36988384881577796,0.23192509925965696,0.163471237041664,0.37220071027659707,0.16697011000294298,0.21928940798275,0.11222360624924099,0.0965343128705439,0.365529063377799,0.557034670668212,0.23618184681106102,0.130311013260453,0.158773810918771,0.28011911245229604,0.263784765795603,0.37583699344060295,0.498683348075506,0.5297466736539289,0.39726267322366104,0.14837373536740697,0.14997999914142301,0.259286429326314,0.142902363528294,0.12699635963970698,0.18372107435957602,0.15444582505483498,0.280857927555605,0.146695207345206,0.104650807683038,0.42739759812904404,0.21941791358994198,0.41113961643662794,0.35293359253178797
BORTEZOMIB,0.37816633611392,0.5016320786148329,0.54666524678921,0.337920111995838,0.37690265649323096,0.498370963002336,0.36345011947108097,0.654067667718587,0.584459567676775,0.470420848366971,0.601043554486227,0.642230295396877,0.410853991617383,0.5658022070649731,0.48379644870130895,0.541646644603867,0.541919132526935,0.224256747536942,0.596541865378036,0.484091075778132,0.6153817737644549,0.623104805595474,0.5962705310894351,0.6980441913245289,0.5021884516741509,0.605296723751651,0.46189091417829603,0.5663013524291801,0.534748220821476,0.482745361179436,0.546504186955531,0.488986115462569,0.284319158561266,0.596951646099006,0.64319118543446,0.534806560022846,0.5314581971508889,0.678633172980184,0.35063229527108,0.650119598244382,0.26388744573292394
BOSUTINIB,,,,,,,,,0.224305771878355,,,,0.0647923112519914,,,0.24710233157989103,,,,,,0.194836934640955,0.14234030882492402,0.23679267759657896,0.0362141345622987,0.23318936263273002,0.154398258007042,,,,,0.015719905196095,0.211765540526231,0.0867732496857573,,,,0.181411606569693,,,
DASATINIB,0.0,0.190387316658893,0.243895091155095,0.0,0.266453942440314,0.219227755273439,0.00928179398283044,0.0614365999999997,0.49681802863205105,0.138040942056155,0.10848566848690801,0.3706956353624221,0.25325956935170396,0.5715927785458571,0.216092146759996,0.723116766237722,0.48057309645892,0.142543550949326,0.223390680431032,0.0550025255197407,0.0015822226119480301,0.0897825694529699,0.0106297518895821,0.0895137943626811,0.030393571838931,0.0867019686719104,0.198053708286483,0.113659163581974,0.19616289813580398,0.163723125313585,0.23170495966990698,0.19615724817621202,0.212638211966496,0.0,0.00644969393288737,0.0158808210601367,0.268465776151013,0.15047415459116198,0.0,0.0336554479794683,0.23227338065791897
DOXORUBICIN,0.11670985590482302,0.180478176975471,0.26997179517235803,0.347510191189356,0.20875922626147103,0.17324521662698902,0.310975706974993,0.34874507422686896,0.237896636798352,0.230421708166476,0.24525718731453602,0.184353612044447,0.19914504500642002,0.18814649068542202,0.153529267822968,0.219838296278612,0.28909717111380395,0.303298363833513,0.264604551316477,0.108811796410071,0.20919126265576002,0.138365432946936,0.17353159095416001,0.384540091400026,0.0990221179473978,0.369049644356986,0.31438639316706607,0.19769614708345998,0.0706151531568474,0.0918029573281763,0.168191064775921,0.0612001970005075,0.180458947608807,0.30720348215013205,0.42514388622018,0.34769924545743897,0.0665133948999202,0.311042046482688,0.21198824145141001,0.427869767970894,0.16301391975000798
ENTINOSTAT,0.0665959729827077,0.0132456150550847,0.261599617962801,0.16672398460773497,0.0330325481762886,0.126673637820857,0.0957557586744176,0.25425267755274,0.22498499691258803,0.11151809596750399,0.103745837147188,0.00978267483559795,0.0726897416379543,0.176286778980268,0.1013988717466,0.230510464183149,0.330933352990077,0.20911141304607603,0.13296376328492002,0.174742031155117,0.171145810689777,0.213936890713857,0.282068515147217,0.19768244109043803,0.284426748714547,0.17114667718249202,0.21074730851484302,0.10506442773503899,0.0817434670086848,0.16801129405090998,0.219258261220304,0.26913018549887097,0.26185119535909196,0.275685852543549,0.217847938070703,0.28441539883356204,0.0138670881810497,0.20231281162946999,0.218702347543897,0.313497649948471,0.198008592222657
